endTime	responseSize	responseTime	isSuccessful	responseCode	Textcheck	TXNID

1596460232.134	364558	1551	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460232.529	364553	371	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460232.917	364569	375	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460233.174	364563	249	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460233.411	364556	220	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460233.639	364557	220	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460233.867	364561	217	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460234.078	364556	199	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460234.288	364555	201	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460234.462	364570	163	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460234.668	364560	198	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460234.963	364560	273	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460235.160	364560	187	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460235.388	364562	209	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460235.549	364566	157	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460235.702	364554	147	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460235.861	364553	152	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.014	364561	145	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.349	364555	331	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.506	364563	154	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.609	364563	92	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.777	364554	163	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.895	364555	114	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460236.988	364556	89	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460237.381	364561	386	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460237.540	364562	150	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460237.695	364553	152	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460237.937	364561	237	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.108	364563	168	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.306	364555	184	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.504	364569	176	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.577	364557	242	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.707	364558	201	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.739	364560	158	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.844	364562	132	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460238.935	364554	193	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.014	364556	164	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.181	364561	163	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.290	364566	353	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.314	364559	126	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.441	364556	148	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.569	364556	252	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.714	364563	267	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.848	364564	276	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.848	364554	118	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460239.995	364557	142	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.072	364558	216	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.233	364554	152	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.268	364563	269	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.425	364560	147	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.459	364556	224	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.727	364556	264	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460240.756	364559	316	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460241.099	364556	324	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460241.106	364562	366	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

1596460241.242	364560	133	isSuccessful	200	UNDEFINED_variable#0	UNDEFINED_variable#1

